caste1,degree,employed1,income1,mother1,occupation,religion1,account
Kayastha,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Sales/Business Development,Hindu,real
Brahmin,Engineering,Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Travel/Airlines,Hindu,real
Kshatriya,BE B.Tech (Engineering),MNC,INR 40 lakhs to 50 lakhs,Bengali,IT,Hindu,real
Kayastha,MBA/PGDM,Others,INR 5 lakhs to 7 lakhs,Bengali,Advertising/Entertainment/Media,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 5 lakhs to 7 lakhs,Bengali,Finance and Accounts,Hindu,real
Brahmin - Rudraj,BE B.Tech (Engineering),MNC,INR 5 lakhs to 7 lakhs,Bengali,IT,Hindu,real
Kayastha,BCA (Computer Application),Others,INR 50 thousand to 1 lakh,Bengali,Business Owner/Entrepreneur,Hindu,real
Brahmin,B.Com (Commerce),State Government,INR 50 thousand to 1 lakh,Bengali,Education/Training,Hindu,real
Mahishya,B.Com (Commerce),Private Sector,INR 50 thousand to 1 lakh,Bengali,Sales/Business Development,Hindu,real
Kayastha,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Bengali,Architecture/Design,Hindu,real
Kayastha,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Brahmin - Bengali,M.Sc. (Science),Public Sector,INR 7 lakhs to 10 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Kayastha,B.Com (Commerce),Others,INR 7 lakhs to 10 lakhs,Bengali,Business Owner/Entrepreneur,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Bengali,Construction,Hindu,real
Namasudra,ME/M.Tech/MS (Engg/Sciences),Central Government,INR 7 lakhs to 10 lakhs,Bengali,Education/Training,Hindu,real
Kayastha,MBA/PGDM,MNC,INR 7 lakhs to 10 lakhs,Bengali,Export/Import,Hindu,real
Bengali,Ph.D. (Doctorate),Public Sector,INR 7 lakhs to 10 lakhs,Bengali,Finance and Accounts,Hindu,real
Kayastha,Master of Health Administration,Private Sector,INR 7 lakhs to 10 lakhs,Bengali,Health Care,Hindu,real
Kayastha,B.Sc (Science),Private Sector,INR 7 lakhs to 10 lakhs,Bengali,Health Care,Hindu,real
Kayastha,M.Sc. (Science),Private Sector,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Kayastha,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Kayastha,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Others,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Bengali,IT,Muslim,real
Brahmin - Rarhi,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Saha,MCA/PGDCA,MNC,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Sunni,MCA/PGDCA,MNC,INR 7 lakhs to 10 lakhs,Bengali,IT,Muslim,real
Saha,MCA/PGDCA,Private Sector,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Kayastha,12th,Others,INR 7 lakhs to 10 lakhs,Bengali,Real Estate,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Bengali,Telecom/ISP,Hindu,real
Brahmin - Kulin,B.Sc (Science),Private Sector,Don't wish to specify,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Baidya,Master of Hospital Administration,Others,Don't wish to specify,Bengali,Hotels/Restaurants,Hindu,real
Brahmin,BE B.Tech (Engineering),MNC,Don't wish to specify,Bengali,IT,Hindu,real
Brahmin,B.Com (Commerce),MNC,Don't wish to specify,Bengali,IT,Hindu,real
Bengali,BE B.Tech (Engineering),MNC,Don't wish to specify,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Sunni,M.Pharm. (Pharmacy),Private Sector,Don't wish to specify,Bengali,Marketing and Communications,Muslim,real
Kayastha,B.Com (Commerce),MNC,Don't wish to specify,Bengali,Others,Hindu,real
Brahmin - Bengali,MBA/PGDM,Public Sector,Don't wish to specify,Bengali,Banking/Insurance/Financial Services,Hindu,real
Brahmin,M.Sc. (Science),Others,Don't wish to specify,Bengali,Advertising/Entertainment/Media,Hindu,real
Sunni,BE B.Tech (Engineering),Others,Don't wish to specify,Bengali,Education/Training,Muslim,real
Bengali,B.Com (Commerce),Others,Don't wish to specify,Bengali,Finance and Accounts,Hindu,real
Banik,12th,State Government,Don't wish to specify,Bengali,Government Employee,Hindu,real
Sunni,M.Ed. (Education),Private Sector,Don't wish to specify,Bengali,IT,Muslim,real
Mahishya,BE B.Tech (Engineering),Private Sector,INR Under 50 thousand,Bengali,Education/Training,Hindu,real
Brahmin - Barendra,12th,Private Sector,INR Under 50 thousand,Bengali,Others,Hindu,real
Kharwar,12th,Private Sector,INR 1 lakh to 2 lakhs,Bhojpuri,Admin/Secretarial,Hindu,real
Brahmin,MA (Arts),Private Sector,INR 15 lakhs to 20 lakhs,Bhojpuri,Admin/Secretarial,Hindu,real
Rajput,Engineering,Private Sector,INR 2 lakhs to 3 lakhs,Bhojpuri,Management/Corporate Professionals,Hindu,real
Vishwakarma,Other Diploma,Private Sector,INR 2 lakhs to 3 lakhs,Bhojpuri,Others,Hindu,real
Rajput,Other Diploma,Public Sector,INR 3 lakhs to 4 lakhs,Bhojpuri,Business Owner/Entrepreneur,Hindu,real
Rajput,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Bhojpuri,Finance and Accounts,Hindu,real
Kayastha,MBA/PGDM,MNC,INR 30 lakhs to 40 lakhs,Bhojpuri,Finance and Accounts,Hindu,real
Bhumihar Brahmin,BE B.Tech (Engineering),MNC,INR 4 lakhs to 5 lakhs,Bhojpuri,IT,Hindu,real
Vaishya,MBA/PGDM,Central Government,INR 50 lakhs and above,Bhojpuri,Construction,Hindu,real
Kayastha,B.Com (Commerce),State Government,INR 50 thousand to 1 lakh,Bhojpuri,Admin/Secretarial,Hindu,real
Yadav,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 7 lakhs to 10 lakhs,Bhojpuri,Construction,Hindu,real
Bhumihar Brahmin,10th,Private Sector,INR 1 lakh to 2 lakhs,Bihari,Admin/Secretarial,Hindu,real
Kayastha,MCA/PGDCA,Private Sector,INR 1 lakh to 2 lakhs,Bihari,Education/Training,Hindu,real
Rajput,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Bihari,Finance and Accounts,Hindu,real
Brahmin Shivalli,MBA/PGDM,MNC,INR 15 lakhs to 20 lakhs,Bihari,Management/Corporate Professionals,Hindu,real
Gupta,MCA/PGDCA,MNC,INR 2 lakhs to 3 lakhs,Bihari,Customer Service/Call Centre/BPO,Hindu,real
Rajput,BBA/BBM/BBS,Private Sector,INR 2 lakhs to 3 lakhs,Bihari,Management/Corporate Professionals,Hindu,real
Kurmi,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Bihari,Manufacturing/Engineering/R&D,Hindu,real
Brahmin,BE B.Tech (Engineering),MNC,INR 3 lakhs to 4 lakhs,Bihari,Telecom/ISP,Hindu,real
Rajput,B.A. (Arts),Others,INR 4 lakhs to 5 lakhs,Bihari,Business Owner/Entrepreneur,Hindu,real
Brahmin,BE B.Tech (Engineering),State Government,INR 4 lakhs to 5 lakhs,Bihari,Export/Import,Hindu,real
Jaiswal,MBA/PGDM,Central Government,INR 4 lakhs to 5 lakhs,Bihari,Government Employee,Hindu,real
Brahmin,BE B.Tech (Engineering),MNC,INR 4 lakhs to 5 lakhs,Bihari,IT,Hindu,real
Gupta,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Bihari,Purchase/Logistics/Supply chain,Hindu,real
Rajput,ME/M.Tech/MS (Engg/Sciences),MNC,INR 5 lakhs to 7 lakhs,Bihari,IT,Hindu,real
Kayastha,MCA/PGDCA,Public Sector,INR 7 lakhs to 10 lakhs,Bihari,IT,Hindu,real
Brahmin - Kanyakubj,MCA/PGDCA,MNC,INR 7 lakhs to 10 lakhs,Bihari,IT,Hindu,real
Kumbhakar,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Bihari,Manufacturing/Engineering/R&D,Hindu,real
Kurmi,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Bihari,Sales/Business Development,Hindu,real
Kurmi,MBA/PGDM,MNC,Don't wish to specify,Bihari,Sales/Business Development,Hindu,real
Coorgi,B.Com (Commerce),State Government,INR 3 lakhs to 4 lakhs,Coorgi,Government Employee,Hindu,real
Scheduled Caste,MBA/PGDM,MNC,INR 15 lakhs to 20 lakhs,Dogri,Management/Corporate Professionals,Hindu,real
Scheduled Caste,MBA/PGDM,Private Sector,INR 15 lakhs to 20 lakhs,Dogri,Management/Corporate Professionals,Hindu,real
Brahmin,B.Sc (Science),Central Government,INR 2 lakhs to 3 lakhs,Dogri,Defence,Hindu,real
Brahmin,MCA/PGDCA,MNC,INR 5 lakhs to 7 lakhs,Dogri,Banking/Insurance/Financial Services,Hindu,real
Catholic,PG Diploma,Private Sector,INR 1 lakh to 2 lakhs,English,Admin/Secretarial,Christian,real
Protestant,B.A. (Arts),Private Sector,INR 1 lakh to 2 lakhs,English,Manufacturing/Engineering/R&D,Christian,real
Catholic,PG Diploma,Private Sector,INR 1 lakh to 2 lakhs,English,Sales/Business Development,Christian,real
Brahmin,CA (Chartered Accountant),MNC,INR 10 lakhs to 15 lakhs,English,Finance and Accounts,Hindu,real
Others,Other Diploma,Others,INR 15 lakhs to 20 lakhs,English,Human Resource,Christian,real
Catholic,12th,Others,INR 2 lakhs to 3 lakhs,English,Marketing and Communications,Christian,real
Catholic,Ph.D. (Doctorate),Central Government,INR 2 lakhs to 3 lakhs,English,Pharmaceutical/Biotechnology,Christian,real
Catholic,BCA (Computer Application),Others,INR 4 lakhs to 5 lakhs,English,IT,Christian,real
Catholic,10th,Private Sector,INR 4 lakhs to 5 lakhs,English,Manufacturing/Engineering/R&D,Christian,real
Catholic,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,English,Sales/Business Development,Christian,real
Catholic,M.Com. (Commerce),Private Sector,INR 40 lakhs to 50 lakhs,English,Business Owner/Entrepreneur,Christian,real
Khatri,M.Sc. (Science),MNC,INR 50 lakhs and above,English,Merchant Navy,Hindu,real
Protestant,MD/MS (Medicine),Private Sector,INR 7 lakhs to 10 lakhs,English,Health Care,Christian,real
Protestant,B.Com (Commerce),MNC,Don't wish to specify,English,Export/Import,Christian,real
Catholic,BE B.Tech (Engineering),Private Sector,Don't wish to specify,English,IT,Christian,real
Catholic,B.A. (Arts),Others,Don't wish to specify,English,Business Owner/Entrepreneur,Christian,real
Catholic,PG Diploma,Private Sector,Don't wish to specify,English,Others,Christian,real
Catholic,B.A. (Arts),MNC,Don't wish to specify,English,Purchase/Logistics/Supply chain,Christian,real
Others,Ph.D. (Doctorate),Others,Don't wish to specify,English,Education/Training,Muslim,real
Garhwali Rajput,BHM (Hotel Management),Private Sector,INR 1 lakh to 2 lakhs,Garhwali,Hotels/Restaurants,Hindu,real
Brahmin - Garhwali,MCA/PGDCA,State Government,INR 1 lakh to 2 lakhs,Garhwali,IT,Hindu,real
Garhwali,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Garhwali,Human Resource,Hindu,real
Brahmin - Garhwali,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Garhwali,Banking/Insurance/Financial Services,Hindu,real
Brahmin - Garhwali,Other School/Graduation,Public Sector,INR 3 lakhs to 4 lakhs,Garhwali,Construction,Hindu,real
Rajput,MBA/PGDM,Central Government,INR 3 lakhs to 4 lakhs,Garhwali,Government Employee,Hindu,real
Rawat,Other Diploma,Public Sector,INR 3 lakhs to 4 lakhs,Garhwali,Others,Hindu,real
Kayastha,BCA (Computer Application),Private Sector,INR 50 thousand to 1 lakh,Garhwali,Advertising/Entertainment/Media,Hindu,real
Rajput,Others,Others,INR 7 lakhs to 10 lakhs,Garhwali,Admin/Secretarial,Hindu,real
Garhwali,BBA/BBM/BBS,Private Sector,INR 7 lakhs to 10 lakhs,Garhwali,Advertising/Entertainment/Media,Hindu,real
Brahmin - Garhwali,MBA/PGDM,MNC,INR 7 lakhs to 10 lakhs,Garhwali,Telecom/ISP,Hindu,real
Rajput,BHMS (Homeopathy),Private Sector,Don't wish to specify,Garhwali,Health Care,Hindu,real
Protestant,B.A. (Arts),State Government,INR 3 lakhs to 4 lakhs,Garo,Government Employee,Christian,real
Darji,10th,Private Sector,INR 1 lakh to 2 lakhs,Gujarati,Business Owner/Entrepreneur,Hindu,real
Vaishnav,10th,Private Sector,INR 1 lakh to 2 lakhs,Gujarati,Construction,Hindu,real
Patel Leva,MCA/PGDCA,Public Sector,INR 1 lakh to 2 lakhs,Gujarati,Education/Training,Hindu,real
Scheduled Caste,MCA/PGDCA,MNC,INR 1 lakh to 2 lakhs,Gujarati,IT,Hindu,real
Brahmin - Saraswat,Other Diploma,Private Sector,INR 1 lakh to 2 lakhs,Gujarati,Marketing and Communications,Hindu,real
Sonar,MA (Arts),Private Sector,INR 1 lakh to 2 lakhs,Gujarati,Marketing and Communications,Hindu,real
Sonar,10th,Private Sector,INR 1 lakh to 2 lakhs,Gujarati,Sales/Business Development,Hindu,real
Brahmin,MBA/PGDM,MNC,INR 10 lakhs to 15 lakhs,Gujarati,IT,Hindu,real
Vaishnav,MBA/PGDM,Private Sector,INR 10 lakhs to 15 lakhs,Gujarati,Telecom/ISP,Hindu,real
Banik,MD/MS (Medicine),Private Sector,INR 15 lakhs to 20 lakhs,Gujarati,Health Care,Hindu,real
Sonar,M.Sc. (Science),Others,INR 15 lakhs to 20 lakhs,Gujarati,Hotels/Restaurants,Hindu,real
Patel,Engineering,Private Sector,INR 15 lakhs to 20 lakhs,Gujarati,Construction,Hindu,real
Shewetamber,B.Sc (Science),Private Sector,INR 15 lakhs to 20 lakhs,Gujarati,Travel/Airlines,Jain,real
Shewetamber,BE B.Tech (Engineering),Private Sector,INR 15 lakhs to 20 lakhs,Gujarati,IT,Jain,real
Patel,B.Com (Commerce),Private Sector,INR 15 lakhs to 20 lakhs,Gujarati,Management/Corporate Professionals,Hindu,real
Gurjar,B.Pharm (Pharmacy),Public Sector,INR 15 lakhs to 20 lakhs,Gujarati,Pharmaceutical/Biotechnology,Hindu,real
Shewetamber,12th,Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Admin/Secretarial,Jain,real
Brahmin,BCA (Computer Application),Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Business Owner/Entrepreneur,Hindu,real
Panchal/Suthar,Engineering,Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Business Owner/Entrepreneur,Hindu,real
Catholic,M.Com. (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Business Owner/Entrepreneur,Christian,real
Lohana,Ph.D. (Doctorate),State Government,INR 2 lakhs to 3 lakhs,Gujarati,Education/Training,Hindu,real
Vaishnav,MBA/PGDM,MNC,INR 2 lakhs to 3 lakhs,Gujarati,Finance and Accounts,Hindu,real
Gujarati,Other Diploma,Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Government Employee,Hindu,real
Vaishnav Vania,BCA (Computer Application),Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Human Resource,Hindu,real
Shewetamber,MCA/PGDCA,Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,IT,Jain,real
Koli,MSW (Social Work),Others,INR 2 lakhs to 3 lakhs,Gujarati,Others,Hindu,real
Patel,M.Sc. (Science),Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Pharmaceutical/Biotechnology,Hindu,real
Kashyap,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Sales/Business Development,Hindu,real
Vaishnav Vania,B.Sc (Science),Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,Sales/Business Development,Hindu,real
Khatri,B.Sc (Science),Public Sector,INR 2 lakhs to 3 lakhs,Gujarati,Telecom/ISP,Hindu,real
Rajput,Other Diploma,Others,INR 20 lakhs to 25 lakhs,Gujarati,Agriculture,Hindu,real
Shewetamber,ME/M.Tech/MS (Engg/Sciences),MNC,INR 25 lakhs to 30 lakhs,Gujarati,Telecom/ISP,Jain,real
Lohana,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Agriculture,Hindu,real
Shewetamber,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Banking/Insurance/Financial Services,Jain,real
Brahmin,B.Com (Commerce),Public Sector,INR 3 lakhs to 4 lakhs,Gujarati,Business Owner/Entrepreneur,Hindu,real
Vaishnav,MBA/PGDM,Others,INR 3 lakhs to 4 lakhs,Gujarati,Business Owner/Entrepreneur,Hindu,real
Brahmin,B.Sc (Science),Public Sector,INR 3 lakhs to 4 lakhs,Gujarati,Business Owner/Entrepreneur,Hindu,real
Shewetamber,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Business Owner/Entrepreneur,Jain,real
Patel,B.Ed (Education),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Construction,Hindu,real
Shewetamber,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Education/Training,Jain,real
Patel,Engineering,State Government,INR 3 lakhs to 4 lakhs,Gujarati,Education/Training,Hindu,real
Lohana,M.Sc. (Science),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Education/Training,Hindu,real
Darji,B.Com (Commerce),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Export/Import,Hindu,real
Patel,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,IT,Hindu,real
Rajput,BE B.Tech (Engineering),MNC,INR 3 lakhs to 4 lakhs,Gujarati,IT,Hindu,real
Vaishnav Vania,MBA/PGDM,Others,INR 3 lakhs to 4 lakhs,Gujarati,Legal,Hindu,real
Rajput,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Manufacturing/Engineering/R&D,Hindu,real
Gujarati,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Manufacturing/Engineering/R&D,Hindu,real
Shewetamber,Other Diploma,Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Marketing and Communications,Jain,real
Leva patel,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Marketing and Communications,Hindu,real
