caste1,degree,employed1,income1,mother1,occupation,religion1,account
Kurmi Kshatriya,BE B.Tech (Engineering),Central Government,INR 30 lakhs to 40 lakhs,Urdu,Sales/Business Development,Muslim,fake
Brahmin - Garhwali,12th,Public Sector,Don't wish to specify,Urdu,Advertising/Entertainment/Media,Muslim,fake
Padmasali,B.Com (Commerce),Private Sector,INR 50 lakhs and above,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Velaan/Vellalar,B.Arch (Architecture),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Business Owner/Entrepreneur,Muslim,fake
Araya,B.Pharm (Pharmacy),Public Sector,INR 20 lakhs to 25 lakhs,Urdu,Agriculture,Muslim,fake
Jat,M.Ed. (Education),Central Government,INR 50 lakhs and above,Urdu,Sales/Business Development,Muslim,fake
Brahmin - Dhiman,12th,Public Sector,INR Under 50 thousand,Urdu,Electronics,Muslim,fake
Baniya,B.Sc (Science),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Architecture/Design,Muslim,fake
Viswabrahmin,PG Diploma,Central Government,INR 3 lakhs to 4 lakhs,Urdu,Real Estate,Muslim,fake
Gurjar,BFA (Fine Arts),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Brahmin - Smartha,B.Sc (Science),State Government,INR 50 thousand to 1 lakh,Urdu,Hotels/Restaurants,Muslim,fake
Brahmin - Danua,BHMS (Homeopathy),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Others,Muslim,fake
Mudaliar,Master of Hospital Administration,State Government,INR 20 lakhs to 25 lakhs,Urdu,Non Working,Muslim,fake
Somvanshi,Integrated PG,Central Government,INR Under 50 thousand,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Sindhi-Larkana,M.Com. (Commerce),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Defence,Muslim,fake
Kumaoni Rajput,MBA/PGDM,Public Sector,INR 20 lakhs to 25 lakhs,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Nadar,M.Lib.Sc. (Library Sciences),State Government,INR 25 lakhs to 30 lakhs,Urdu,Business Owner/Entrepreneur,Muslim,fake
Bengali,MBA/PGDM,Central Government,INR 20 lakhs to 25 lakhs,Urdu,Artists/Animators/Web Designers,Muslim,fake
Vaishya,CA (Chartered Accountant),Central Government,INR 50 lakhs and above,Urdu,Marketing and Communications,Muslim,fake
Gupta,B.Plan (Planning),State Government,INR 20 lakhs to 25 lakhs,Urdu,Manufacturing/Engineering/R&D,Muslim,fake
Others,M.Phil. (Philosophy),Public Sector,INR 3 lakhs to 4 lakhs,Urdu,Human Resource,Muslim,fake
Patel Kadva,CA (Chartered Accountant),Central Government,INR 50 thousand to 1 lakh,Urdu,Defence/Management/Corporate Professionals,Muslim,fake
Gurav,MBBS,Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Customer Service/Call Centre/BPO,Muslim,fake
Brahmin - Sri Vaishnava,BCA (Computer Application),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Architecture/Design,Muslim,fake
Gudia,B.Plan (Planning),Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Bhandari,B.Plan (Planning),Central Government,INR 50 thousand to 1 lakh,Urdu,Sales/Business Development,Muslim,fake
Bhovi,10th,Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Management/Corporate Professionals,Muslim,fake
Kadava Patel,Other School/Graduation,State Government,INR 50 thousand to 1 lakh,Urdu,Management/Corporate Professionals,Muslim,fake
Lambani,BDS (Dental Surgery),Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Purchase/Logistics/Supply chain,Muslim,fake
Sakkhar Sindhi,MBBS,Public Sector,INR 50 thousand to 1 lakh,Urdu,Legal,Muslim,fake
Gujarati,B.Plan (Planning),State Government,INR 30 lakhs to 40 lakhs,Urdu,Pharmaceutical/Biotechnology,Muslim,fake
Brahmin - Iyer,BBA/BBM/BBS,State Government,INR 40 lakhs to 50 lakhs,Urdu,Advertising/Entertainment/Media,Muslim,fake
"Banjara,Lambani",MCA/PGDCA,Public Sector,INR 20 lakhs to 25 lakhs,Urdu,Artists/Animators/Web Designers,Muslim,fake
Malayalee,MBBS,Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Defence,Muslim,fake
Mapila,MA (Arts),State Government,INR 3 lakhs to 4 lakhs,Urdu,Defence/Management/Corporate Professionals,Muslim,fake
Gondhali,M.Plan. (Planning),State Government,INR 25 lakhs to 30 lakhs,Urdu,Architecture/Design,Muslim,fake
Gavali,B.Ed (Education),Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Purchase/Logistics/Supply chain,Muslim,fake
Baishnab,Other Diploma,Private Sector,INR 30 lakhs to 40 lakhs,Urdu,Beauty/Fashion/Jewellery Designers,Muslim,fake
Padmasali,BFA (Fine Arts),State Government,INR 50 lakhs and above,Urdu,Travel/Airlines,Muslim,fake
Jeer,B.Ed (Education),Private Sector,INR 3 lakhs to 4 lakhs,Urdu,Oil/Gas,Muslim,fake
Mali,Engineering,Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Brahmin - Niyogi,B.Com (Commerce),Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Health Care,Muslim,fake
Naidu,BHMS (Homeopathy),Central Government,INR 50 lakhs and above,Urdu,Business Owner/Entrepreneur,Muslim,fake
Sindhi-Amil,M.Pharm. (Pharmacy),State Government,INR 25 lakhs to 30 lakhs,Urdu,Business Owner/Entrepreneur,Muslim,fake
Rawat,M.Pharm. (Pharmacy),Central Government,INR 40 lakhs to 50 lakhs,Urdu,Travel/Airlines,Muslim,fake
Keralite,MBA/PGDM,Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Business Owner/Entrepreneur,Muslim,fake
Rajput,BHMS (Homeopathy),Private Sector,INR 3 lakhs to 4 lakhs,Urdu,Travel/Airlines,Muslim,fake
Thiyya,B.El.Ed (Elementary Education),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Management/Corporate Professionals,Muslim,fake
Rajastani,PG Diploma,Central Government,Don't wish to specify,Urdu,Admin/Secretarial,Muslim,fake
Reddy,Other Doctorate,State Government,INR 30 lakhs to 40 lakhs,Urdu,Telecom/ISP,Muslim,fake
Mahar,12th,Public Sector,INR 3 lakhs to 4 lakhs,Urdu,Hotels/Restaurants,Muslim,fake
Vokkaliga,BCA (Computer Application),State Government,INR 25 lakhs to 30 lakhs,Urdu,Pharmaceutical/Biotechnology,Muslim,fake
Saliya,M.Lib.Sc. (Library Sciences),Private Sector,INR Under 50 thousand,Urdu,Defence/Merchant Navy,Muslim,fake
Lodhi Rajput,B.Ed (Education),Private Sector,INR 50 thousand to 1 lakh,Urdu,Pharmaceutical/Biotechnology,Muslim,fake
Saliya,MBBS,Central Government,INR 30 lakhs to 40 lakhs,Urdu,Customer Service/Call Centre/BPO,Muslim,fake
Guptan,BHM (Hotel Management),Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Brahmin - Jangra,MSW (Social Work),Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Manufacturing/Engineering/R&D,Muslim,fake
Goala,MA (Arts),Public Sector,INR Under 50 thousand,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Gurjar,Integrated PG,Central Government,INR 40 lakhs to 50 lakhs,Urdu,Construction,Muslim,fake
Mathur,M.Pharm. (Pharmacy),State Government,INR 25 lakhs to 30 lakhs,Urdu,Marketing and Communications,Muslim,fake
Padmasali,Other School/Graduation,Private Sector,INR 50 thousand to 1 lakh,Urdu,Education/Training,Muslim,fake
Rajput,Master of Hospital Administration,Central Government,INR 30 lakhs to 40 lakhs,Urdu,Advertising/Entertainment/Media,Muslim,fake
Kalwar,M.Pharm. (Pharmacy),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Non Working,Muslim,fake
Sikh - Jat,M.Sc. (Science),Private Sector,INR Under 50 thousand,Urdu,Civil Services/Law Enforcement,Muslim,fake
Brahmin Shivalli,BE B.Tech (Engineering),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Construction,Muslim,fake
"Banjara,Lambani",MD/MS (Medicine),State Government,INR 25 lakhs to 30 lakhs,Urdu,Electronics,Muslim,fake
"Khatri,Punjabi",B.Plan (Planning),Central Government,INR 30 lakhs to 40 lakhs,Urdu,Finance and Accounts,Muslim,fake
Brahmin - Saryuparin,B.Ed (Education),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Telecom/ISP,Muslim,fake
Tamil Yadava,BFA (Fine Arts),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Defence,Muslim,fake
Togata,MDS (Master of Dental Surgery),Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Customer Service/Call Centre/BPO,Muslim,fake
Saliya,MA (Arts),State Government,INR 20 lakhs to 25 lakhs,Urdu,Construction,Muslim,fake
"Brahmin,Agarwal",M.Phil. (Philosophy),State Government,INR 30 lakhs to 40 lakhs,Urdu,Purchase/Logistics/Supply chain,Muslim,fake
"Scheduled Caste,Mahar",BFA (Fine Arts),Central Government,INR 50 lakhs and above,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Udayar,Arts/Graphic Designing,Public Sector,INR 30 lakhs to 40 lakhs,Urdu,IT,Muslim,fake
Brahmin - Pandit,Master of Fashion Technology,Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Non Working,Muslim,fake
Ediga,Master of Fashion Technology,State Government,INR 3 lakhs to 4 lakhs,Urdu,Defence/Merchant Navy,Muslim,fake
Maurya,B.Ed (Education),Public Sector,INR 50 lakhs and above,Urdu,Architecture/Design,Muslim,fake
Jat,MSW (Social Work),State Government,INR Under 50 thousand,Urdu,Defence/Merchant Navy,Muslim,fake
Scheduled Tribe,MD/MS (Medicine),Central Government,INR 50 lakhs and above,Urdu,Hotels/Restaurants,Muslim,fake
Maharashtrian,M.Pharm. (Pharmacy),Central Government,INR Under 50 thousand,Urdu,Others,Muslim,fake
Padmashali,BDS (Dental Surgery),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Electronics,Muslim,fake
Saha,M.Pharm. (Pharmacy),Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Oil/Gas,Muslim,fake
Brahmin,BFA (Fine Arts),State Government,Don't wish to specify,Urdu,Artists/Animators/Web Designers,Muslim,fake
Jaalari,B.El.Ed (Elementary Education),Private Sector,Don't wish to specify,Urdu,Artists/Animators/Web Designers,Muslim,fake
Maharashtrian,MCA/PGDCA,Private Sector,INR 20 lakhs to 25 lakhs,Urdu,IT,Muslim,fake
Leva Patidar,B.Sc (Science),Central Government,INR 30 lakhs to 40 lakhs,Urdu,Marketing and Communications,Muslim,fake
Viswabrahmin,M.Com. (Commerce),Private Sector,INR 50 lakhs and above,Urdu,Human Resource,Muslim,fake
Himachali/Pahari,M.Arch. (Architecture),State Government,INR Under 50 thousand,Urdu,Advertising/Entertainment/Media,Muslim,fake
Kushwaha,BBA/BBM/BBS,State Government,INR 50 thousand to 1 lakh,Urdu,Sales/Business Development,Muslim,fake
Brahmin,BDS (Dental Surgery),Central Government,INR 30 lakhs to 40 lakhs,Urdu,Admin/Secretarial,Muslim,fake
Vaishya,Integrated PG,Central Government,INR Under 50 thousand,Urdu,Electronics,Muslim,fake
Kansari,BL/LLB/BGL (Law),Central Government,INR 40 lakhs to 50 lakhs,Urdu,Health Care,Muslim,fake
Vellalar,BDS (Dental Surgery),Private Sector,INR 50 thousand to 1 lakh,Urdu,Oil/Gas,Muslim,fake
Kongu Vellala Gounder,B.Pharm (Pharmacy),Public Sector,Don't wish to specify,Urdu,Human Resource,Muslim,fake
"Nair Vaniya,Nair Vilakkithala",MBBS,Private Sector,INR 30 lakhs to 40 lakhs,Urdu,Hotels/Restaurants,Muslim,fake
"Bengali,Nepali",BFA (Fine Arts),Public Sector,INR 3 lakhs to 4 lakhs,Urdu,Manufacturing/Engineering/R&D,Muslim,fake
"Brahmin,Agarwal",M.Com. (Commerce),State Government,INR 30 lakhs to 40 lakhs,Urdu,Science,Muslim,fake
Brahmin - Nagar,MDS (Master of Dental Surgery),Private Sector,INR 30 lakhs to 40 lakhs,Urdu,Purchase/Logistics/Supply chain,Muslim,fake
Tili,B.El.Ed (Elementary Education),Public Sector,INR Under 50 thousand,Urdu,IT,Muslim,fake
Kumawat,B.Arch (Architecture),Central Government,INR Under 50 thousand,Urdu,Sales/Business Development,Muslim,fake
Perika,Integrated PG,Central Government,INR 40 lakhs to 50 lakhs,Urdu,Government Employee,Muslim,fake
Lodhi Rajput,B.Com (Commerce),State Government,INR 50 thousand to 1 lakh,Urdu,Education/Training,Muslim,fake
"Munnuru Kapu,Reddy",MBBS,State Government,INR 3 lakhs to 4 lakhs,Urdu,Finance and Accounts,Muslim,fake
Brahmin - Dhiman,PG Diploma,Private Sector,Don't wish to specify,Urdu,Export/Import,Muslim,fake
Sindhi,MCA/PGDCA,Public Sector,INR 50 lakhs and above,Urdu,Export/Import,Muslim,fake
Jaiswal,MBBS,Private Sector,INR Under 50 thousand,Urdu,Admin/Secretarial,Muslim,fake
Varshney,Engineering,Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Defence/Management/Corporate Professionals,Muslim,fake
Bhavasar Kshatriya,BL/LLB/BGL (Law),Central Government,INR Under 50 thousand,Urdu,Finance and Accounts,Muslim,fake
Vannar,PG Diploma,Central Government,Don't wish to specify,Urdu,Export/Import,Muslim,fake
Brahmin - Velanadu,Arts/Graphic Designing,Central Government,INR Under 50 thousand,Urdu,Travel/Airlines,Muslim,fake
Shikarpuri Sindhi,BCA (Computer Application),State Government,INR 3 lakhs to 4 lakhs,Urdu,Beauty/Fashion/Jewellery Designers,Muslim,fake
Brahmin Shivalli,M.Phil. (Philosophy),State Government,INR 25 lakhs to 30 lakhs,Urdu,Agriculture,Muslim,fake
Namasudra,CFA (Chartered Financial Analyst),Central Government,INR Under 50 thousand,Urdu,Government Employee,Muslim,fake
Koli,MA (Arts),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Advertising/Entertainment/Media,Muslim,fake
Chasa,CFA (Chartered Financial Analyst),Public Sector,INR 50 thousand to 1 lakh,Urdu,Agriculture,Muslim,fake
Nayaka,MSW (Social Work),State Government,Don't wish to specify,Urdu,Management/Corporate Professionals,Muslim,fake
Kahar,M.Lib.Sc. (Library Sciences),Central Government,INR 50 thousand to 1 lakh,Urdu,Finance and Accounts,Muslim,fake
Brahmin - Madhwa,M.Pharm. (Pharmacy),Central Government,INR Under 50 thousand,Urdu,Admin/Secretarial,Muslim,fake
Swarnakar,B.Sc (Science),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,IT,Muslim,fake
Swarnakar,10th,State Government,INR Under 50 thousand,Urdu,Defence/Management/Corporate Professionals,Muslim,fake
Brahmin - Panda,M.Ed. (Education),Central Government,INR 3 lakhs to 4 lakhs,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Patil,Other Doctorate,Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Admin/Secretarial,Muslim,fake
"Gupta,Baniya,Vaish",MCA/PGDCA,Private Sector,Don't wish to specify,Urdu,Agriculture,Muslim,fake
Monchi,BL/LLB/BGL (Law),Public Sector,INR 50 lakhs and above,Urdu,Others,Muslim,fake
Kurmi,M.Com. (Commerce),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Artists/Animators/Web Designers,Muslim,fake
Panchal,MA (Arts),Public Sector,INR 40 lakhs to 50 lakhs,Urdu,Advertising/Entertainment/Media,Muslim,fake
Swakula Sali,M.Com. (Commerce),Public Sector,INR 50 lakhs and above,Urdu,Hotels/Restaurants,Muslim,fake
Brahmin - Dhiman,B.Plan (Planning),Private Sector,INR 50 lakhs and above,Urdu,Human Resource,Muslim,fake
Sindhi-Dadu,Ph.D. (Doctorate),State Government,INR 20 lakhs to 25 lakhs,Urdu,Customer Service/Call Centre/BPO,Muslim,fake
Vannar,MD/MS (Medicine),Public Sector,Don't wish to specify,Urdu,Oil/Gas,Muslim,fake
Brahmin 6000 Niyogi,B.Plan (Planning),Private Sector,INR 30 lakhs to 40 lakhs,Urdu,Non Working,Muslim,fake
Kurmi Kshatriya,B.Com (Commerce),Central Government,INR 50 lakhs and above,Urdu,Electronics,Muslim,fake
Panchal,B.Plan (Planning),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Others,Muslim,fake
Kahar,M.Pharm. (Pharmacy),Public Sector,INR 50 lakhs and above,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Kumbhar,B.Arch (Architecture),Central Government,INR 50 thousand to 1 lakh,Urdu,Education/Training,Muslim,fake
Sikh - Majabi,BHMS (Homeopathy),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Human Resource,Muslim,fake
Gondhali,10th,State Government,INR 25 lakhs to 30 lakhs,Urdu,Government Employee,Muslim,fake
Leva Patidar,Other Diploma,State Government,INR 30 lakhs to 40 lakhs,Urdu,Customer Service/Call Centre/BPO,Muslim,fake
Brahmin - Kashmiri Pandit,BHM (Hotel Management),State Government,INR 3 lakhs to 4 lakhs,Urdu,Human Resource,Muslim,fake
Khatik,M.Sc. (Science),State Government,INR 25 lakhs to 30 lakhs,Urdu,Admin/Secretarial,Muslim,fake
Soni,M.Arch. (Architecture),Public Sector,INR 50 lakhs and above,Urdu,Customer Service/Call Centre/BPO,Muslim,fake
Brahmin - Jangid,MBBS,State Government,INR 30 lakhs to 40 lakhs,Urdu,Merchant Navy,Muslim,fake
Kumbhar,BHMS (Homeopathy),Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Government Employee,Muslim,fake
Brahmin - Dhiman,MD/MS (Medicine),State Government,INR 50 thousand to 1 lakh,Urdu,Non Working,Muslim,fake
Urali Gounder,MSW (Social Work),Central Government,INR 50 lakhs and above,Urdu,Civil Services/Law Enforcement,Muslim,fake
Settibalija,B.Com (Commerce),Public Sector,INR 40 lakhs to 50 lakhs,Urdu,Education/Training,Muslim,fake
Brahmin - Rarhi,BCA (Computer Application),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Construction,Muslim,fake
Boyer,B.Sc (Science),State Government,Don't wish to specify,Urdu,Manufacturing/Engineering/R&D,Muslim,fake
Viswabrahmin,BFA (Fine Arts),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Non Working,Muslim,fake
Orthodox,Master of Hospital Administration,Central Government,INR 25 lakhs to 30 lakhs,Urdu,Purchase/Logistics/Supply chain,Muslim,fake
Patnaick/Sistakaranam,PG Diploma,Private Sector,INR 30 lakhs to 40 lakhs,Urdu,Oil/Gas,Muslim,fake
Nepali,Master of Fashion Technology,Central Government,INR 3 lakhs to 4 lakhs,Urdu,Others,Muslim,fake
Kongu Vellala Gounder,CS (Company Secretary),State Government,INR 3 lakhs to 4 lakhs,Urdu,Real Estate,Muslim,fake
Kummari,B.Ed (Education),Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Oil/Gas,Muslim,fake
Tamil,Master of Hospital Administration,State Government,INR 40 lakhs to 50 lakhs,Urdu,Education/Training,Muslim,fake
Brahmin - Kulin,B.Pharm (Pharmacy),Public Sector,INR Under 50 thousand,Urdu,Sales/Business Development,Muslim,fake
Pillai,BFA (Fine Arts),State Government,Don't wish to specify,Urdu,Electronics,Muslim,fake
Tili,B.Pharm (Pharmacy),Public Sector,INR 20 lakhs to 25 lakhs,Urdu,Artists/Animators/Web Designers,Muslim,fake
Brahmin - Maithil,MDS (Master of Dental Surgery),Central Government,INR 50 thousand to 1 lakh,Urdu,Civil Services/Law Enforcement,Muslim,fake
Vania,ME/M.Tech/MS (Engg/Sciences),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Beauty/Fashion/Jewellery Designers,Muslim,fake
Baniya,Other Doctorate,Private Sector,INR 50 thousand to 1 lakh,Urdu,Education/Training,Muslim,fake
"Bengali,Pal",BE B.Tech (Engineering),Central Government,INR 50 thousand to 1 lakh,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Vysya,10th,Private Sector,INR 30 lakhs to 40 lakhs,Urdu,Civil Services/Law Enforcement,Muslim,fake
Ambalavasi,B.El.Ed (Elementary Education),State Government,INR 30 lakhs to 40 lakhs,Urdu,Marketing and Communications,Muslim,fake
Rajaka,MCA/PGDCA,State Government,INR 20 lakhs to 25 lakhs,Urdu,Advertising/Entertainment/Media,Muslim,fake
Koiri,BHMS (Homeopathy),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Science,Muslim,fake
Jeer,M.Phil. (Philosophy),Public Sector,Don't wish to specify,Urdu,Others,Muslim,fake
Chambhar,BHM (Hotel Management),Public Sector,INR 50 lakhs and above,Urdu,Agriculture,Muslim,fake
Sikh - Kamboj,Bachelor of Fashion Technology,Central Government,Don't wish to specify,Urdu,Defence,Muslim,fake
Brahmin - Kashmiri Pandit,Engineering,Private Sector,Don't wish to specify,Urdu,Admin/Secretarial,Muslim,fake
Agarwal,BHM (Hotel Management),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Government Employee,Muslim,fake
"Panchal,Suthar",M.Lib.Sc. (Library Sciences),Public Sector,INR 40 lakhs to 50 lakhs,Urdu,Defence/Merchant Navy,Muslim,fake
Mochi,MBBS,Central Government,INR Under 50 thousand,Urdu,Sales/Business Development,Muslim,fake
Koshti,MA (Arts),Central Government,Don't wish to specify,Urdu,Human Resource,Muslim,fake
Jat,BDS (Dental Surgery),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Manufacturing/Engineering/R&D,Muslim,fake
Jangam,Master of Hospital Administration,State Government,INR 50 lakhs and above,Urdu,Defence/Merchant Navy,Muslim,fake
Meena,M.Sc. (Science),Public Sector,INR 20 lakhs to 25 lakhs,Urdu,Manufacturing/Engineering/R&D,Muslim,fake
Brahmin - Bengali,Other School/Graduation,Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Government Employee,Muslim,fake
Padmashali,BL/LLB/BGL (Law),Central Government,Don't wish to specify,Urdu,Pharmaceutical/Biotechnology,Muslim,fake
"Gupta,Baniya,Vaish",BHM (Hotel Management),Central Government,INR Under 50 thousand,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Brahmin - Bhatt,Ph.D. (Doctorate),State Government,INR 50 lakhs and above,Urdu,Admin/Secretarial,Muslim,fake
Kannada Mogaveera,Integrated PG,Public Sector,INR 50 thousand to 1 lakh,Urdu,Defence/Merchant Navy,Muslim,fake
Sonar,CS (Company Secretary),Central Government,INR 40 lakhs to 50 lakhs,Urdu,Export/Import,Muslim,fake
Kunbi,BE B.Tech (Engineering),Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Advertising/Entertainment/Media,Muslim,fake
Scheduled Caste,Integrated PG,Central Government,INR 30 lakhs to 40 lakhs,Urdu,Architecture/Design,Muslim,fake
Brahmin - Shivhalli,B.Ed (Education),Private Sector,INR 50 thousand to 1 lakh,Urdu,Purchase/Logistics/Supply chain,Muslim,fake
Brahmin - Kanyakubj,BHM (Hotel Management),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Karana,CA (Chartered Accountant),Public Sector,INR Under 50 thousand,Urdu,Defence/Management/Corporate Professionals,Muslim,fake
Goala,10th,Public Sector,INR 50 lakhs and above,Urdu,Advertising/Entertainment/Media,Muslim,fake
Brahmin - Garhwali,ME/M.Tech/MS (Engg/Sciences),Public Sector,Don't wish to specify,Urdu,Export/Import,Muslim,fake
Varshney,ME/M.Tech/MS (Engg/Sciences),Public Sector,INR 40 lakhs to 50 lakhs,Urdu,Finance and Accounts,Muslim,fake
Bhandari,CFA (Chartered Financial Analyst),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Architecture/Design,Muslim,fake
Chettiar,Other School/Graduation,Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Sales/Business Development,Muslim,fake
Brahmin - Bhatt,Ph.D. (Doctorate),Private Sector,INR 50 thousand to 1 lakh,Urdu,Non Working,Muslim,fake
