caste1,degree,employed1,income1,mother1,occupation,religion1,account
Sindhi-Lohana,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Sindhi,Customer Service/Call Centre/BPO,Hindu,real
Khatri,PG Diploma,Private Sector,INR Under 50 thousand,Himachali/Pahari,IT,Hindu,real
Mahisya,MCA/PGDCA,Public Sector,Don't wish to specify,Bengali,IT,Hindu,real
Nair,B.A. (Arts),Others,INR 1 lakh to 2 lakhs,Malayalam,Business Owner/Entrepreneur,Hindu,real
Hindu-Others,Other Diploma,Private Sector,INR 50 thousand to 1 lakh,Others,Artists/Animators/Web Designers,Hindu,real
Brahmin,B.Com (Commerce),MNC,INR 7 lakhs to 10 lakhs,Tamil,Customer Service/Call Centre/BPO,Hindu,real
Sunni,Arts/Graphic Designing,Others,INR 4 lakhs to 5 lakhs,Hindi,Animators/Web Designers,Muslim,real
Brahmin - Kumoani,PG Diploma,MNC,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Kamma,Other Diploma,Private Sector,INR 2 lakhs to 3 lakhs,Tamil,Others,Hindu,real
Shewetamber,MBA/PGDM,Others,INR 30 lakhs to 40 lakhs,Kutchi,Business Owner/Entrepreneur,Jain,real
Vishwakarma,MCA/PGDCA,Private Sector,INR 2 lakhs to 3 lakhs,Tamil,IT,Hindu,real
Sindhi-Sakkhar,B.Com (Commerce),Others,INR 40 lakhs to 50 lakhs,Sindhi,Business Owner/Entrepreneur,Hindu,real
Others,B.A. (Arts),Private Sector,INR 50 thousand to 1 lakh,Oriya,Admin/Secretarial,Christian,real
Brahmin,B.Sc (Science),Private Sector,INR 2 lakhs to 3 lakhs,Tamil,Business Owner/Entrepreneur,Hindu,real
Scheduled Caste,Engineering,Private Sector,INR 1 lakh to 2 lakhs,Tamil,Others,Hindu,real
Maratha,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Marathi,Management/Corporate Professionals,Hindu,real
Brahmin,B.Pharm (Pharmacy),Private Sector,INR 2 lakhs to 3 lakhs,Rajasthani,Health Care,Hindu,real
Rajput,B.Com (Commerce),Private Sector,Don't wish to specify,Gujarati,Admin/Secretarial,Hindu,real
Agarwal,MBA/PGDM,MNC,INR 50 lakhs and above.,Hindi,Human Resource,Hindu,real
Kayastha,MBA/PGDM,Central Government,Don't wish to specify,Marathi,Loss Prevention Manager,Hindu,real
Velama,ME/M.Tech/MS (Engg/Sciences),Others,INR 7 lakhs to 10 lakhs,Telugu,Science,Hindu,real
Yadav,BE B.Tech (Engineering),Public Sector,INR 7 lakhs to 10 lakhs,Bihari,Travel/Airlines,Hindu,real
Vishwakarma,MBA/PGDM,Private Sector,Don't wish to specify,Hindi,Construction,Hindu,real
Patel,Fashion/Design,Others,INR 10 lakhs  to 15 lakhs,Marathi,Others,Hindu,real
Nair,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Malayalam,Oil/Gas,Hindu,real
Yadav,Other Diploma,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Hotels/Restaurants,Hindu,real
Kurmi,MBA/PGDM,MNC,INR 7 lakhs to 10 lakhs,Hindi,Management/Corporate Professionals,Hindu,real
Maheshwari,MBA/PGDM,Others,INR 50 lakhs and above.,Hindi,Admin/Secretarial,Hindu,real
Others,B.Com (Commerce),Public Sector,INR 2 lakhs to 3 lakhs,Urdu,Admin/Secretarial,Muslim,real
Brahmin - Smartha,BE B.Tech (Engineering),Private Sector,INR 1 lakh to 2 lakhs,Telugu,Manufacturing/Engineering,Hindu,real
Sonar,M.Com. (Commerce),Others,INR 50 thousand to 1 lakh,Rajasthani,Business Owner/Entrepreneur,Hindu,real
Yadav,BE B.Tech (Engineering),Public Sector,INR 4 lakhs to 5 lakhs,Hindi,Government Employee,Hindu,real
Vaishnav Vania,12th,Private Sector,INR 7 lakhs to 10 lakhs,Marathi,Others,Hindu,real
Rajput,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 30 lakhs to 40 lakhs,Himachali/Pahari,IT,Hindu,real
Nadar,MBA/PGDM,MNC,INR 1 lakh to 2 lakhs,Tamil,Admin/Secretarial,Hindu,real
Kayastha,10th,Private Sector,INR 50 thousand to 1 lakh,Hindi,Advertising/Entertainment/Media,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Admin/Secretarial,Hindu,real
Sahu,B.A. (Arts),Private Sector,INR 50 thousand to 1 lakh,Hindi,Marketing and Communications,Hindu,real
Others,B.Com (Commerce),Private Sector,Don't wish to specify,Malayalam,Sales/Business Development,Muslim,real
Kunbi,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Marathi,IT,Hindu,real
Vishwakarma,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Rajput,M.Phil. (Philosophy),Private Sector,Don't wish to specify,Punjabi,Education/Training,Hindu,real
Maratha,Others,Others,INR 3 lakhs to 4 lakhs,Marathi,Health Care,Hindu,real
Leva patel,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Marathi,Marketing and Communications,Hindu,real
Brahmin,B.A. (Arts),Private Sector,Don't wish to specify,Hindi,Health Care,Hindu,real
Others,B.Sc (Science),Private Sector,INR Under 50 thousand,Malayalam,Education/Training,Muslim,real
Catholic,MBA/PGDM,Others,Don't wish to specify,Malayalam,Business Owner/Entrepreneur,Christian,real
Protestant,10th,Private Sector,Don't wish to specify,Telugu,Admin/Secretarial,Christian,real
Brahmin - Sanadya,MCA/PGDCA,MNC,INR 5 lakhs to 7 lakhs,Hindi,IT,Hindu,real
Scheduled Caste,ME/M.Tech/MS (Engg/Sciences),Public Sector,INR 3 lakhs to 4 lakhs,Telugu,Manufacturing/Engineering,Hindu,real
Rajput,ME/M.Tech/MS (Engg/Sciences),MNC,INR 2 lakhs to 3 lakhs,Malayalam,IT,Hindu,real
Sikh - Ramgharia,MBA/PGDM,Private Sector,INR 30 lakhs to 40 lakhs,Punjabi,Hotels/Restaurants,Sikh,real
Gupta,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Gupta,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Retail Chains,Hindu,real
Arekatica,Master of Health Administration,Private Sector,INR 2 lakhs to 3 lakhs,Telugu,Civil Services/Law Enforcement,Hindu,real
Khatri,B.Com (Commerce),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Finance and Accounts,Hindu,real
Vannia Kula Kshatriyar,10th,Others,INR 2 lakhs to 3 lakhs,Tamil,Travel/Airlines,Hindu,real
Bhavsar,MD/MS (Medicine),State Government,INR 4 lakhs to 5 lakhs,Marathi,Health Care,Hindu,real
Brahmin - Kumoani,Ph.D. (Doctorate),State Government,INR 4 lakhs to 5 lakhs,Hindi,Education/Training,Hindu,real
Ezhava,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 15 lakhs to 20 lakhs,Malayalam,Construction,Hindu,real
Agnikula Kshatriya,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Telugu,Customer Service/Call Centre/BPO,Hindu,real
Lingayath,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Kannada,Management/Corporate Professionals,Hindu,real
Teli,B.Sc (Science),Central Government,INR 2 lakhs to 3 lakhs,Hindi,Defence,Hindu,real
Rajput,MBBS,Private Sector,INR 5 lakhs to 7 lakhs,Maithili,Health Care,Hindu,real
Catholic,B.Com (Commerce),MNC,INR 4 lakhs to 5 lakhs,Konkani,Finance and Accounts,Christian,real
Kayastha,MA (Arts),State Government,INR 2 lakhs to 3 lakhs,Bengali,Education/Training,Hindu,real
Protestant,ME/M.Tech/MS (Engg/Sciences),MNC,INR 7 lakhs to 10 lakhs,Hindi,Management/Corporate Professionals,Christian,real
Lingayath,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Kannada,Construction,Hindu,real
Shewetamber,B.Com (Commerce),Private Sector,INR 10 lakhs  to 15 lakhs,Gujarati,Business Owner/Entrepreneur,Jain,real
Kshatriya,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Marathi,Admin/Secretarial,Hindu,real
Shewetamber,CA (Chartered Accountant),MNC,INR 20 lakhs to 25 lakhs,Gujarati,Finance and Accounts,Jain,real
Kshatriya,BE B.Tech (Engineering),MNC,INR 5 lakhs to 7 lakhs,Hindi,IT,Hindu,real
Kshatriya,MA (Arts),Private Sector,INR 5 lakhs to 7 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Sindhi,CFA (Chartered Financial Analyst),Central Government,INR 7 lakhs to 10 lakhs,Sindhi,Banking/Insurance/Financial Services,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Padmasali,MD/MS (Medicine),Public Sector,INR 2 lakhs to 3 lakhs,Telugu,Health Care,Hindu,real
Panchal,MD/MS (Medicine),Central Government,INR 7 lakhs to 10 lakhs,Gujarati,Health Care,Hindu,real
Kunbi,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Marathi,Sales/Business Development,Hindu,real
Brahmin - Gaur,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Scheduled Caste,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Telugu,Admin/Secretarial,Hindu,real
Yadav,BE B.Tech (Engineering),Private Sector,INR 10 lakhs  to 15 lakhs,Hindi,Education/Training,Hindu,real
Baniya,MBA/PGDM,MNC,INR 30 lakhs to 40 lakhs,Hindi,Marketing and Communications,Hindu,real
Brahmin,Engineering,MNC,INR 7 lakhs to 10 lakhs,Himachali/Pahari,Telecom/ISP,Hindu,real
Brahmin - Anavil,MCA/PGDCA,Private Sector,Don't wish to specify,Gujarati,IT,Hindu,real
Kongu Vellala Gounder,BE B.Tech (Engineering),MNC,Don't wish to specify,Tamil,IT,Hindu,real
Jaiswal,B.Com (Commerce),Others,INR 7 lakhs to 10 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Maratha,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Marathi,Banking/Insurance/Financial Services,Hindu,real
Baniya,MBA/PGDM,MNC,INR 20 lakhs to 25 lakhs,Hindi,Construction,Hindu,real
Mallah,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Brahmin,MCA PGDCA part time,MNC,INR 3 lakhs to 4 lakhs,Oriya,IT,Hindu,real
Agarwal,12th,Private Sector,INR 25 lakhs to 30 lakhs,Punjabi,Manufacturing/Engineering/R&D,Hindu,real
Rajput,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Oil/Gas,Hindu,real
Nadar,B.Com (Commerce),Private Sector,INR 7 lakhs to 10 lakhs,Tamil,Banking/Insurance/Financial Services,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Management/Corporate Professionals,Hindu,real
Kashyap,Other Diploma,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Architecture/Design,Hindu,real
Kayastha,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Scheduled Caste,B.Sc (Science),Central Government,INR 3 lakhs to 4 lakhs,Bengali,Government Employee,Hindu,real
Kunbi,BE B.Tech (Engineering),Central Government,INR 7 lakhs to 10 lakhs,Marathi,Government Employee,Hindu,real
Rajput,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Oriya,IT,Hindu,real
Kutchi,B.Ed (Education),MNC,INR 7 lakhs to 10 lakhs,Kutchi,IT,Hindu,real
Vaishnav,B.Com (Commerce),Private Sector,INR 7 lakhs to 10 lakhs,Gujarati,Travel/Airlines,Hindu,real
Padmasali,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 7 lakhs to 10 lakhs,Telugu,IT,Hindu,real
Sikh - Khatri,12th,Others,INR 2 lakhs to 3 lakhs,Punjabi,Others,Sikh,real
Kayastha,M.Sc. (Science),Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Management/Corporate Professionals,Hindu,real
Lohana,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Gujarati,IT,Hindu,real
Kayastha,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Kayastha,BE B.Tech (Engineering),MNC,INR 25 lakhs to 30 lakhs,Bengali,IT,Hindu,real
Gupta,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Travel/Airlines,Hindu,real
Brahmin - Kanyakubj,B.Sc (Science),Public Sector,INR 5 lakhs to 7 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Oriya,Education/Training,Hindu,real
Kayastha,BPT (Physiotherapy),Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Baniya,BE B.Tech (Engineering),Public Sector,INR 7 lakhs to 10 lakhs,Hindi,Architecture/Design,Hindu,real
Others,MBA/PGDM,Others,INR 15 lakhs to 20 lakhs,Tamil,Others,Christian,real
Arora,BE B.Tech (Engineering),Private Sector,INR 30 lakhs to 40 lakhs,Hindi,Electronics,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Catholic,Other Diploma,Private Sector,INR 7 lakhs to 10 lakhs,Malayalam,Sales/Business Development,Christian,real
Yadav,PG Diploma,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Finance and Accounts,Hindu,real
Kasar,12th,Private Sector,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Soni,MBA/PGDM,Others,INR 5 lakhs to 7 lakhs,Hindi,Education/Training,Hindu,real
Kayastha,CA (Chartered Accountant),Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Finance and Accounts,Hindu,real
Scheduled Caste,MBA/PGDM,MNC,INR 3 lakhs to 4 lakhs,Kannada,Banking/Insurance/Financial Services,Hindu,real
Kayastha,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Bengali,IT,Hindu,real
Kalar,MBA/PGDM,Public Sector,INR 7 lakhs to 10 lakhs,Marathi,Marketing and Communications,Hindu,real
Vaishnav,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Gujarati,Banking/Insurance/Financial Services,Hindu,real
Vannia Kula Kshatriyar,M.Sc. (Science),MNC,INR 4 lakhs to 5 lakhs,Tamil,Science,Hindu,real
Brahmin - Kanyakubj,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Maratha,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Marathi,Telecom/ISP,Hindu,real
Sahu,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Vaishnav,BHM (Hotel Management),Others,INR 10 lakhs  to 15 lakhs,Gujarati,Hotels/Restaurants,Hindu,real
Sunni,12th,MNC,INR 3 lakhs to 4 lakhs,Malayalam,Management/Corporate Professionals,Muslim,real
Brahmin,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Hindi,Telecom/ISP,Hindu,real
Baniya,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Kayastha,B.Com (Commerce),Private Sector,INR 4 lakhs to 5 lakhs,Bengali,IT,Hindu,real
Brahmin - Garhwali,MCA/PGDCA,MNC,INR 7 lakhs to 10 lakhs,Garhwali,IT,Hindu,real
Khatri,MBA/PGDM,MNC,INR 10 lakhs  to 15 lakhs,Punjabi,IT,Hindu,real
Agarwal,B.A. (Arts),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Agarwal,B.Com (Commerce),Others,INR 10 lakhs  to 15 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Valmiki,MCA/PGDCA,MNC,INR 10 lakhs  to 15 lakhs,Telugu,IT,Hindu,real
Brahmin - Saraswat,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Himachali/Pahari,Management/Corporate Professionals,Hindu,real
Sikh - Ramgharia,B.A. (Arts),Central Government,INR 4 lakhs to 5 lakhs,Punjabi,Government Employee,Sikh,real
Catholic,B.Com (Commerce),Others,INR 4 lakhs to 5 lakhs,Konkani,Business Owner/Entrepreneur,Christian,real
Brahmin - Bhumihar,BE B.Tech (Engineering),Private Sector,INR 15 lakhs to 20 lakhs,Bhojpuri,Manufacturing/Engineering/R&D,Hindu,real
Shewetamber,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 10 lakhs  to 15 lakhs,Gujarati,IT,Jain,real
Brahmin,MBA/PGDM,Private Sector,Don't wish to specify,Oriya,Purchase/Logistics/Supply chain,Hindu,real
Brahmin - Shivhalli,Other Diploma,Private Sector,INR 7 lakhs to 10 lakhs,Kannada,Construction,Hindu,real
Khatri,BCA (Computer Application),MNC,Don't wish to specify,Punjabi,Sales/Business Development,Hindu,real
Maratha,M.Com. (Commerce),Private Sector,INR 4 lakhs to 5 lakhs,Marathi,Finance and Accounts,Hindu,real
Rajput,MCA/PGDCA,Others,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Brahmin,MBA/PGDM,MNC,INR 7 lakhs to 10 lakhs,Hindi,Human Resource,Hindu,real
Agarwal,B.Com (Commerce),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Sales/Business Development,Hindu,real
Yadav,MCA/PGDCA,State Government,INR 3 lakhs to 4 lakhs,Hindi,Admin/Secretarial,Hindu,real
Brahmin,BE B.Tech (Engineering),Others,INR 15 lakhs to 20 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Adi Dravida,M.Sc. (Science),MNC,INR 7 lakhs to 10 lakhs,Tamil,IT,Hindu,real
Kamma,MBA/PGDM,Private Sector,Don't wish to specify,Telugu,IT,Hindu,real
Togata,BE B.Tech (Engineering),Private Sector,INR 5 lakhs to 7 lakhs,Telugu,IT,Hindu,real
Sunni,BE B.Tech (Engineering),MNC,INR 10 lakhs  to 15 lakhs,Urdu,Human Resource,Muslim,real
Rajastani,MBA/PGDM,Others,Don't wish to specify,Marwari,Business Owner/Entrepreneur,Hindu,real
Jat,BE B.Tech (Engineering),MNC,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Gupta,MBA/PGDM,MNC,INR 15 lakhs to 20 lakhs,Hindi,IT,Hindu,real
Vellalar,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Tamil,IT,Hindu,real
Brahmin,ME/M.Tech/MS (Engg/Sciences),MNC,INR 10 lakhs  to 15 lakhs,Marathi,IT,Hindu,real
Pal,B.A. (Arts),Others,INR 7 lakhs to 10 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Sikh - Ramgharia,B.A. (Arts),Central Government,INR 4 lakhs to 5 lakhs,Punjabi,Government Employee,Sikh,real
Rajput,BHMS (Homeopathy),Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Education/Training,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Bengali,Management/Corporate Professionals,Hindu,real
Gupta,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Hindu,real
Sikh - Ramgharia,BE B.Tech (Engineering),Private Sector,INR 30 lakhs to 40 lakhs,Punjabi,Marketing and Communications,Sikh,real
Yadav,MCA/PGDCA,Private Sector,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Jatav,Engineering,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Rajput,CA (Chartered Accountant),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Finance and Accounts,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Marketing and Communications,Hindu,real
Sunni,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Muslim,real
Baniya,MBA/PGDM,Others,INR 15 lakhs to 20 lakhs,Hindi,Pharmaceutical/Biotechnology,Hindu,real
Brahmin,MBA/PGDM,MNC,INR 7 lakhs to 10 lakhs,Kashmiri,Marketing and Communications,Hindu,real
Teli,MCA/PGDCA,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Sunni,MBA/PGDM,MNC,INR 10 lakhs  to 15 lakhs,Urdu,Sales/Business Development,Muslim,real
Khatri,BE B.Tech (Engineering),MNC,INR 2 lakhs to 3 lakhs,Hindi,Purchase/Logistics/Supply chain,Hindu,real
Ganiga,Engineering,Private Sector,INR 4 lakhs to 5 lakhs,Telugu,Construction,Hindu,real
Kamma,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 3 lakhs to 4 lakhs,Telugu,Education/Training,Hindu,real
Kurmi Kshatriya,12th,Private Sector,INR 50 thousand to 1 lakh,Hindi,Travel/Airlines,Hindu,real
Rajput,MBA/PGDM,Private Sector,INR 10 lakhs  to 15 lakhs,Hindi,Management/Corporate Professionals,Hindu,real
Scheduled Caste,B.A. (Arts),Public Sector,INR 1 lakh to 2 lakhs,Hindi,Government Employee,Hindu,real
Vishwakarma,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Tamil,Others,Hindu,real
